id, player_name
8479318, Auston Matthews
8478444, Brock Boeser
8476453, Nikita Kucherov
8477956, David Pastrnak
8477933, Sam Reinhart
8471675, Sidney Crosby
8475786, Zach Hyman
8477492, Nathan MacKinnon
8478550, Artemi Panarin
8478420, Mikko Rantanen
8475184, Chris Kreider
8478398, Kyle Connor
8476539, Jonathan Marchessault
8477939, William Nylander
8476887, Filip Forsberg
8478010, Brayden Point
8477501, Valeri Nichushkin
8475754, Brock Nelson
8477409, Carter Verhaeghe
8478439, Travis Konecny
8479675, Trevor Moore
8476468, J.T. Miller
8478403, Jack Eichel
8474564, Steven Stamkos
8479337, Alex DeBrincat
8480801, Brady Tkachuk
8478493, Joel Eriksson Ek
8478366, Frank Vatrano
8481559, Jack Hughes
8477934, Leon Draisaitl
8477404, Jake Guentzel
8477500, Bo Horvat
8476448, William Karlsson
8475784, Jeff Skinner
8475726, Tyler Toffoli
8477955, Jared McCann
8478474, Lawson Crouse
8479619, Michael Carcone
8480012, Elias Pettersson
8479407, Jesper Bratt
8480023, Robert Thomas
8478483, Mitchell Marner
8476459, Mika Zibanejad
8471685, Anze Kopitar
8478427, Sebastian Aho
8470794, Joe Pavelski
8484144, Connor Bedard
8473419, Brad Marchand
8475158, Ryan O'Reilly
8475169, Evander Kane
8478402, Connor McDavid

