id, player_name
8478402, Connor McDavid
8477500, Bo Horvat
8479420, Tage Thompson
8480830, Andrei Svechnikov
8478420, Mikko Rantanen
8474578, Erik Karlsson
8480018, Nick Suzuki
8478864, Kirill Kaprizov
8480014, Gabriel Vilardi
8477934, Leon Draisaitl
8477956, David Pastrnak
8480027, Jason Robertson
8478403, Jack Eichel
8476459, Mika Zibanejad
8481540, Cole Caufield
8478109, Victor Olofsson
8480002, Nico Hischier
8476454, Ryan Nugent-Hopkins
8475754, Brock Nelson
8475166, John Tavares
8475314, Anders Lee
8477409, Carter Verhaeghe
8476468, J.T. Miller
8471214, Alex Ovechkin
8477404, Jake Guentzel
8475191, Reilly Smith
8476460, Mark Scheifele
8481596, Shane Pinto
8480039, Martin Necas
8477330, Dominik Kubalik
8480839, Rasmus Dahlin
8478427, Sebastian Aho
8477946, Dylan Larkin
8475786, Zach Hyman
8471215, Evgeni Malkin
8479318, Auston Matthews
8478414, Timo Meier
8477949, Alex Tuch
8474564, Steven Stamkos
8470794, Joe Pavelski
