id, player_name
8479318, Auston Matthews
8476453, Nikita Kucherov
8478444, Brock Boeser
8477933, Sam Reinhart
8478550, Artemi Panarin
8477956, David Pastrnak
8475786, Zach Hyman
8477492, Nathan MacKinnon
8471675, Sidney Crosby
8478420, Mikko Rantanen
8476887, Filip Forsberg
8477939, William Nylander
8479337, Alex DeBrincat
8475184, Chris Kreider
8477409, Carter Verhaeghe
8478439, Travis Konecny
8478398, Kyle Connor
8476539, Jonathan Marchessault
8479675, Trevor Moore
8478403, Jack Eichel
8477404, Jake Guentzel
8478010, Brayden Point
8477501, Valeri Nichushkin
8475754, Brock Nelson
8480801, Brady Tkachuk
8478366, Frank Vatrano
8478474, Lawson Crouse
8476468, J.T. Miller
8481559, Jack Hughes
8477934, Leon Draisaitl
8474564, Steven Stamkos
8484144, Connor Bedard
8476448, William Karlsson
8478493, Joel Eriksson Ek
8475726, Tyler Toffoli
8479407, Jesper Bratt
8478427, Sebastian Aho
8478483, Mitchell Marner
8480023, Robert Thomas
8476459, Mika Zibanejad
8477500, Bo Horvat
8471685, Anze Kopitar
8470794, Joe Pavelski
8478449, Roope Hintz
8480208, Drake Batherson
8475158, Ryan O'Reilly
8475784, Jeff Skinner
8477955, Jared McCann
8479619, Michael Carcone
8480012, Elias Pettersson
8478864, Kirill Kaprizov
8479343, Clayton Keller
8477946, Dylan Larkin
8473419, Brad Marchand
8471215, Evgeni Malkin
8475169, Evander Kane
8480893, Kirill Marchenko
8476882, Teuvo Teravainen
8478440, Dylan Strome
8476432, Boone Jenner
8478402, Connor McDavid
8475913, Mark Stone
8476460, Mark Scheifele
8477402, Pavel Buchnevich
8476881, Tomas Hertl
8482093, Seth Jarvis
8482175, JJ Peterka
8476399, Blake Coleman
8480797, Joel Farabee
8475745, Charlie Coyle
8480015, Owen Tippett
8480064, Josh Norris
8477450, Jason Dickinson
8482089, Jake Neighbours
8477493, Aleksander Barkov
8480027, Jason Robertson
8477960, Adrian Kempe
8475166, John Tavares
8475168, Matt Duchene
8477416, Oliver Bjorkstrand
8482078, Lucas Raymond
8477940, Nikolaj Ehlers
8482079, Marco Rossi
8481068, Yegor Sharangovich
8476925, Colton Sissons
8477426, Nicholas Paul
8477511, Anthony Mantha
8475793, Ryan Johansen
8480800, Quinn Hughes
8478445, Mathew Barzal
8480018, Nick Suzuki
8480839, Rasmus Dahlin
8479542, Brandon Hagel
8482124, Quinton Byfield
8482745, Mason McTavish
8475794, Tyler Seguin
8477951, Nick Schmaltz
8482149, Cole Perfetti
8476474, Stefan Noesen
8484166, Adam Fantilli
